ID	Date	Offer1	Offer2	OfferDM1	OfferDM2	Refusal1	Refusal2	DMI	Breed	Parityt	month	Treatment
2327	01/02/1999	217.4214286	84.41964286	0.9221	0.901	0.475	0	8.6290975	1	1	10	3
2327	01/03/1999	190.083871	73.69193548	0.9221	0.901	0	0	7.923697419	1	1	11	3
2327	01/04/1999	184.9316667	70.455	0.9221	0.901	0	0	7.672309667	1	1	12	3
2327	01/05/1999	186.2467742	71.62580645	0.9221	0.901	0	0	7.746655806	1	1	13	3
2327	01/06/1999	180.255	68.21833333	0.9221	0.901	0	0	7.464847667	1	1	14	3
2327	01/07/1999	177.0967742	67.88709677	0.903	0.8948	0	0	7.234877419	1	1	15	3
2327	01/08/1999	177.7854839	68.77258065	0.903	0.8948	0	0	7.281245806	1	1	16	3
2327	01/09/1999	183	70.15	0.903	0.8948	0	0	7.47604	1	1	17	3
2327	01/10/1999	187.5258065	73.1016129	0.9221	0.901	0	0	7.82892129	1	1	18	3
2327	01/11/1999	195.4033333	75.43666667	0.9221	0.901	0	0	8.136060667	1	1	19	3
2327	01/12/1999	204.35	79.3	0.9221	0.901	0	0	8.52067	1	1	20	3
2327	01/01/2000	211.433871	81.66129032	0.9221	0.901	0.080645161	0	8.730227097	1	1	21	3
2327	01/02/2000	213.5	82.35	0.9221	0.901	1.089655172	0	7.882628966	1	1	22	3
2327	01/03/2000	199.9225806	77.23387097	0.9221	0.901	0.14516129	0	8.191928065	1	2	1	3
2327	01/04/2000	180.3566667	68.82833333	0.9221	0.901	0.153333333	0	7.344552667	1	2	2	3
2327	01/05/2000	181.1306452	70.15	0.9221	0.901	0	0	7.548384194	1	2	3	3
2327	01/06/2000	180.6616667	70.15	0.9221	0.901	0	0	7.534205667	1	2	4	3
2327	01/07/2000	182.1145161	70.15	0.903	0.8948	0	0	7.449823871	1	2	5	3
2327	01/08/2000	177.1951613	68.77258065	0.903	0.8948	0	0	7.263768387	1	2	6	3
2327	01/09/2000	174.155	67.20166667	0.903	0.8948	0	0	7.127672667	1	2	7	3
2327	01/10/2000	175.916129	67.49354839	0.9221	0.901	0	0	7.312260645	1	2	8	3
